start_time_stamp,end_time_stamp,service_name,pods_number,cpu_quota_cores,min_cpu_quota_percentage_across_pods,max_cpu_quota_percentage_across_pods,min_cpu_cores_used_across_pods,max_cpu_cores_used_across_pods,memory_quota_mb,min_memory_quota_percentage_across_pods,max_memory_quota_percentage_across_pods,min_memory_used_bytes_across_pods,max_memory_used_bytes_across_pods,jvm_heap_max_mb,min_jvm_heap_used_percentage_across_pods,min_jvm_heap_used_bytes,queries_per_second,success_rate,latency_ms
1699125020,1699125020,acmeair-customerservice,1.0,0.5,1.189,1.189,0.00593,0.00593,512,74.626847,74.626847,400649830.4,400649830.4,512,45.843465,138442627.2,2.0,100.0,12.288592
1699125020,1699125020,acmeair-flightservice,1.0,0.5,6.143,6.143,0.0307,0.0307,512,53.479157,53.479157,287114035.2,287114035.2,512,65.2795,115039649.6,2.0,100.0,7.9059355
1699125020,1699125020,acmeair-mainservice,1.0,0.5,1.173,1.173,0.00585,0.00585,512,27.416993,27.416993,147193856.0,147193856.0,512,62.854104,46464649.6,0.0,100.0,0.0
1699125000,1699125000,acmeair-authservice,1.0,0.5,1.26,1.26,0.00627,0.00627,512,59.010315,59.010315,316809216.0,316809216.0,512,49.321827,82166470.4,3.0,100.0,0.992156333334
1699125000,1699125000,acmeair-bookingservice,1.0,0.5,2.524,2.524,0.01258,0.01258,512,46.809388,46.809388,251305984.0,251305984.0,512,67.605738,94903657.6,3.0,100.0,14.510555
1699125000,1699125000,acmeair-customerservice,1.0,0.5,1.206,1.206,0.00601,0.00601,512,74.62616,74.62616,400646144.0,400646144.0,512,44.85985,135472208.0,3.0,100.0,9.792933
1699125000,1699125000,acmeair-flightservice,1.0,0.5,2.077,2.077,0.01037,0.01037,512,53.200226,53.200226,285616537.6,285616537.6,512,63.594859,112070868.8,3.0,100.0,8.434151
1699125000,1699125000,acmeair-mainservice,1.0,0.5,1.07,1.07,0.00532,0.00532,512,27.416993,27.416993,147193856.0,147193856.0,512,60.555234,44765219.2,0.0,100.0,0.0
1699125000,1699125000,acmeair-authservice,1.0,0.5,1.26,1.26,0.00627,0.00627,512,59.010315,59.010315,316809216.0,316809216.0,512,49.321827,82166470.4,3.0,100.0,0.992156333334
1699125000,1699125000,acmeair-bookingservice,1.0,0.5,2.524,2.524,0.01258,0.01258,512,46.809388,46.809388,251305984.0,251305984.0,512,67.605738,94903657.6,3.0,100.0,14.510555
1699125000,1699125000,acmeair-customerservice,1.0,0.5,1.206,1.206,0.00601,0.00601,512,74.62616,74.62616,400646144.0,400646144.0,512,44.85985,135472208.0,3.0,100.0,9.792933
1699125000,1699125000,acmeair-flightservice,1.0,0.5,2.077,2.077,0.01037,0.01037,512,53.200226,53.200226,285616537.6,285616537.6,512,63.594859,112070868.8,3.0,100.0,8.434151
1699125000,1699125000,acmeair-mainservice,1.0,0.5,1.07,1.07,0.00532,0.00532,512,27.416993,27.416993,147193856.0,147193856.0,512,60.555234,44765219.2,0.0,100.0,0.0
1699124990,1699124990,acmeair-authservice,1.0,0.5,1.395,1.395,0.00696,0.00696,512,59.010315,59.010315,316809216.0,316809216.0,512,48.490789,80782022.4,2.0,100.0,1.2608965
1699124990,1699124990,acmeair-bookingservice,1.0,0.5,2.566,2.566,0.0128,0.0128,512,46.874772,46.874772,251657011.2,251657011.2,512,66.550649,93422544.0,3.0,100.0,11.801375666667
1699124990,1699124990,acmeair-customerservice,1.0,0.5,1.187,1.187,0.0059,0.0059,512,74.62616,74.62616,400646144.0,400646144.0,512,44.3911,134056630.4,2.0,100.0,10.7936545
1699124990,1699124990,acmeair-flightservice,1.0,0.5,2.021,2.021,0.01008,0.01008,512,53.118897,53.118897,285179904.0,285179904.0,512,62.704193,110501281.6,2.0,100.0,9.6459485
1699124990,1699124990,acmeair-mainservice,1.0,0.5,1.125,1.125,0.00559,0.00559,512,27.416993,27.416993,147193856.0,147193856.0,512,59.383359,43898915.2,0.0,100.0,0.0
1699124980,1699124980,acmeair-authservice,1.0,0.5,1.399,1.399,0.00698,0.00698,512,59.010315,59.010315,316809216.0,316809216.0,512,47.600742,79299270.4,3.0,100.0,0.883104666667
1699124980,1699124980,acmeair-bookingservice,1.0,0.5,2.042001,2.042001,0.01018,0.01018,512,46.794892,46.794892,251228160.0,251228160.0,512,65.486223,91928323.2,2.0,100.0,11.999133
1699124980,1699124980,acmeair-customerservice,1.0,0.5,1.232,1.232,0.006141,0.006141,512,74.62616,74.62616,400646144.0,400646144.0,512,43.858737,132448950.4,3.0,100.0,10.064981
1699124980,1699124980,acmeair-flightservice,1.0,0.5,2.289,2.289,0.01142,0.01142,512,53.159638,53.159638,285398630.4,285398630.4,512,61.893251,109072187.2,3.0,100.0,8.79334
1699124980,1699124980,acmeair-mainservice,1.0,0.5,1.195,1.195,0.00594,0.00594,512,27.416993,27.416993,147193856.0,147193856.0,512,58.053018,42915465.6,0.0,100.0,0.0
1699124970,1699124970,acmeair-authservice,1.0,0.5,1.295,1.295,0.00644,0.00644,512,59.010315,59.010315,316809216.0,316809216.0,512,46.784209,77938988.8,3.0,100.0,1.752865333334
1699124970,1699124970,acmeair-bookingservice,1.0,0.5,1.910001,1.910001,0.009511,0.009511,512,46.834183,46.834183,251439104.0,251439104.0,512,64.465857,90495952.0,3.0,100.0,12.602498333334
1699124970,1699124970,acmeair-customerservice,1.0,0.5,1.289001,1.289001,0.00642,0.00642,512,74.62616,74.62616,400646144.0,400646144.0,512,43.389852,131032963.2,3.0,100.0,11.569951333334
1699124970,1699124970,acmeair-flightservice,1.0,0.5,1.935,1.935,0.00966,0.00966,512,53.118897,53.118897,285179904.0,285179904.0,512,61.112059,107695521.6,3.0,100.0,7.397873
1699124970,1699124970,acmeair-mainservice,1.0,0.5,1.133,1.133,0.005631,0.005631,512,27.416993,27.416993,147193856.0,147193856.0,512,56.856764,42031139.2,0.0,100.0,0.0
1699124960,1699124960,acmeair-authservice,1.0,0.5,1.297001,1.297001,0.006461,0.006461,512,59.010315,59.010315,316809216.0,316809216.0,512,45.908177,76479584.0,2.0,100.0,1.0327025
1699124960,1699124960,acmeair-bookingservice,1.0,0.5,1.958,1.958,0.009761,0.009761,512,46.873246,46.873246,251648819.2,251648819.2,512,63.399972,88999683.2,3.0,100.0,14.232495333334
1699124960,1699124960,acmeair-customerservice,1.0,0.5,1.185,1.185,0.0059,0.0059,512,74.62616,74.62616,400646144.0,400646144.0,512,42.894518,129537104.0,2.0,100.0,11.19355
1699124960,1699124960,acmeair-flightservice,1.0,0.5,2.458,2.458,0.01226,0.01226,512,53.159409,53.159409,285397401.6,285397401.6,512,60.271598,106214408.0,2.0,100.0,8.3112475
1699124960,1699124960,acmeair-mainservice,1.0,0.5,1.09,1.09,0.00543,0.00543,512,27.416993,27.416993,147193856.0,147193856.0,512,55.572411,41081686.4,0.0,100.0,0.0
1699124940,1699124940,acmeair-authservice,1.0,0.5,1.256,1.256,0.00626,0.00626,512,59.010315,59.010315,316809216.0,316809216.0,512,44.196434,73627948.8,3.0,100.0,1.129621666667
1699124940,1699124940,acmeair-bookingservice,1.0,0.5,1.729,1.729,0.00863,0.00863,512,46.793595,46.793595,251221196.8,251221196.8,512,61.331228,86095619.2,3.0,100.0,11.931099333334
1699124940,1699124940,acmeair-customerservice,1.0,0.5,1.302,1.302,0.00647,0.00647,512,74.62616,74.62616,400646144.0,400646144.0,512,41.915649,126581020.8,3.0,100.0,10.270607666667
1699124940,1699124940,acmeair-flightservice,1.0,0.5,2.25,2.25,0.01123,0.01123,512,53.158799,53.158799,285394124.8,285394124.8,512,58.616242,103297236.8,3.0,100.0,8.087861333334
1699124940,1699124940,acmeair-mainservice,1.0,0.5,1.140001,1.140001,0.00567,0.00567,512,27.416993,27.416993,147193856.0,147193856.0,512,53.108426,39260195.2,0.0,100.0,0.0
1699124920,1699124920,acmeair-authservice,1.0,0.5,1.229,1.229,0.00611,0.00611,512,59.010315,59.010315,316809216.0,316809216.0,512,42.485921,70778361.6,3.0,100.0,1.216230333334
1699124920,1699124920,acmeair-bookingservice,1.0,0.5,1.755001,1.755001,0.008741,0.008741,512,46.870194,46.870194,251632435.2,251632435.2,512,59.118926,82990032.0,2.0,100.0,14.3708915
